Charger ID,Charger Name,Address,Suburb,State,Postal Code,Power (kW),Usage Cost,Number of Points,Connection Types,latitude,longitude,Normalized Name,reliability_score
MEL124,Evie Yarra Juncion,Park Road,yarra junction,VIC,,"50, 50",,1,"33, 2",-37.7821693,145.6150255,evie yarra juncion,
MEL125,Kilmore Library,12 Sydney Street,kilmore,Victoria,3764,"25, 25",$0.40 per kWh,1,"33, 2",-37.6750485,144.9242188,kilmore library,
MEL126,Geelong Supercharger,470-510 Princes Highway,corio,Victoria,3214,250,$0.78/kWh,6,33,-37.9623312,145.1346687,geelong supercharger,
MEL127,Hastings,34 King Street,hastings,Victoria,3915,"50, 50",Payment Required $0.45 per kWh,1,"33, 2",-38.3056058,145.1859934,hastings,
MEL128,Kingston Village Square,Grubb Rd,ocean grove,Victoria,3226,"50, 50, 22",Payment Required $0.25 per kWh (at all times),3,"33, 2, 25",-38.170954,145.0972517,kingston village square,
MEL129,Sorrento ,860 Melbourne Rd,,Victoria,3943,"50, 50, 50, 50","0.40/kWh + While parked, not charging: 4.00/hr after 60 mins",2,"33, 2, 33, 33",-37.8688729,145.2126338,sorrento,
MEL130,Rosebud RSL,2 Dunsmuir Drive,,Victoria,3940,"None, 50, None",,2,"0, 2, 1",-37.8688729,145.2126338,rosebud rsl,
MEL131,bp pulse Rye,Cnr Weir St & Point Nepean Road,rye,Victoria,3941,75,55c/kWh,2,33,-38.3821684,144.8099264,bp pulse rye,
MEL132,High St Parking,124 High Street,woodend,Victoria,3442,"50, 50",$0.40 per kWh. Parking overstay charges may apply,2,"33, 2",-37.7934621,144.5595902,high st parking,
MEL133,Geelong West Veledrome,Weddell Road,geelong west,VIC,,22,,2,25,-37.8054508,144.879879,geelong west veledrome,
MEL134,Bru4U Geelong ,4/100 Barwon Terrace,geelong,Victoria,3220,22,free,1,1036,-37.8396934,145.008539,bru4u geelong,
MEL135,Broadford Library,113 High Street,broadford,Victoria,3658,"25, 25",$0.40 per kWh,1,"33, 2",-37.6362329,145.0265708,broadford library,
MEL136,RACV Solar Grovedale,8 Lewalan Street,grovedale,Victoria,3216,22,$0.25 per kWh,1,25,-37.8171289,145.0949242,racv solar grovedale,
MEL137,Blue Tongue Industries,8 Lewalan St,grovedale,Victoria,3216,22,$0.30 per kWh,1,25,-37.8171289,145.0949242,blue tongue industries,
MEL138,Evie Barabool Heights Plaza,Province Blvd,highton,VIC,,"50, 50",,4,"33, 2",-37.8163364,145.0687942,evie barabool heights plaza,
MEL139,Armstrong Creek East Community Hub,46 Central Boulevard,armstrong creek,Victoria,3217,"22, 22, 22",Free,6,"25, 25, 25",-37.6289691,145.8640385,armstrong creek east community hub,
MEL140,Leisurelink Aquatic & Recreation Centre,240 Pioneer Rd,waurn ponds,VIC,3216,"50, 50, 50, 50",$0.45 per kWh,2,"33, 2, 33, 2",,,leisurelink aquatic & recreation centre,
MEL141,Armstrong Creek Shopping Centre,540 Torquay Rd,armstrong creek,Victoria,3216,7,Free,2,25,-37.6289691,145.8640385,armstrong creek shopping centre,
MEL142,Deakin University Waurn Ponds,Carpark 1 Kings Way,,Victoria,3216,"22, 22",Free,4,"25, 25",-37.8688729,145.2126338,deakin university waurn ponds,
MEL143,Trentham Visitor Information Centre,Albert Street,trentham,Vic,,"50, 50",,2,"33, 2",-37.7000743,144.8908894,trentham visitor information centre,
MEL144,Evie Flinders,33 Cook St,flinders,VIC,3929,"50, 50",$0.45 per kWh,1,"33, 2",-38.473312,145.0187057,evie flinders,
MEL145,Evie Bannockburn,High Street,bannockburn,VIC,,"50, 50",,1,"33, 2",-37.732231,145.1014989,evie bannockburn,
MEL146,Evie Cowes,Chapel Street,cowes,Vic,,"50, 50",,4,"33, 2",-37.7092585,144.7872516,evie cowes,
MEL147,Kyneton,1 Hutton Street,kyneton,Victoria,3444,"50, 50",Payment Required $0.40 per kWh parking overstay charges may apply.,1,"33, 2",-37.718862,145.0231115,kyneton,
MEL148,Evie Meredith,12 Wallace St,meredith,VIC,3333,"50, 50",$0.45 per kWh,1,"33, 2",-37.7657176,145.1589446,evie meredith,
MEL149,Yea Supercharger,10 High St,yea,Victoria,3717,135,$0.78/kWh,4,33,-37.4927455,145.1572676,yea supercharger,
MEL150,Penguin Parade Car Park,995 Ventor Rd,summerlands,VIC,3922,"50, 50",AUD 0.37 per kWh,1,"33, 2",,,penguin parade car park,
MEL151,RACV Torquay Resort,1 Great Ocean Road,jan juc,Victoria,3223,"50, 50, 350, 350, 350, 350, 50, 50","Payment Required, Discount for NRMA/RACV members",7,"33, 2, 33, 2, 33, 2, 33, 2",,,racv torquay resort,
MEL152,Newling Reserve,Newling Drive,,Victoria,3240,7,,1,25,-37.8688729,145.2126338,newling reserve,
MEL153,Wine by Sam,69 Anzac Ave,seymour,Vic,3660,"25, 25",AUD 0.40 per kWh,1,"33, 2",-38.0021533,145.0974829,wine by sam,
MEL154,Daylesford Town Hall,76 Vincent St,daylesford, VIC,3460,"25, 25",Payment Required $0.35 per kWh (at all times),1,"33, 2",-37.627671,145.0254821,daylesford town hall,
MEL155,Hepburn Springs Bathhouse,1 Mineral Springs Reserve Road,hepburn springs,Victoria,3461,"50, 50",$0.45 per kWh,2,"33, 2",-37.7481414,144.739508,hepburn springs bathhouse,
MEL156,Shell Coles Express Warrenheip,9395 Western Highway,warrenheip,VIC ,3352,"350, 350",$0.60 per kWh. Parking overstay charges may apply,2,"2, 33",,,shell coles express warrenheip,
MEL157,Evie Warrigul,Queen Street,warragul,Victoria,3820,"50, 50",,1,"33, 2",-37.6694522,144.9350241,evie warrigul,
MEL158,Evie Alexandra,8 - 10 Webster Street,alexandra,Victoria,3714,"50, 50",$0.45 per kWh,1,"33, 2",-37.8212422,144.9736634,evie alexandra,
MEL159,Dindi Naturals,6572 Maroondah Highway,yarck,Victoria,3719,7,Free,1,25,-37.5772947,144.7161349,dindi naturals,
MEL160,Ampol Foodary,Princes Highway,winchelsea,Victoria,,"180, 100",$0.60/kWh for pay-as-you-go charging.,1,"33, 2",,,ampol foodary,
MEL161,RACV Ballarat,Davies Street,ballarat,Victoria,3350,350,,4,33,-37.8050281,144.9457629,racv ballarat,
MEL162,Heathcote Visitor Centre,126 High Street ,heathcote,Victoria ,3523,"50, 50",$0.50/kWh,1,"33, 2",-37.7326399,144.733868,heathcote visitor centre,
MEL163,Coles Sebastopol,Midland Highway,sebastopol,VIC,,22,,2,25,-37.8709314,145.0193037,coles sebastopol,
MEL164,CTR Korumburra,Commercial Street,korumburra,Victoria,3950,"50, 50",,1,"33, 2",,,ctr korumburra,
MEL165,Evie Korumburra,Mine Road,korumburra,Victoria,3950,"50, 50",,1,"33, 2",,,evie korumburra,
MEL166,Midlands Golf Club,330 Heinz Lane,invermay park,Victoria,3350,"22, 22, 22",$0.35 per kWh,6,"25, 25, 25",,,midlands golf club,
MEL167,Evie Caltex Jones Street,Jones Street,avenel,Victoria,3664,"350, 350",,1,"33, 2",-37.8958126,144.6304628,evie caltex jones street,
MEL168,Creswick Vicitors Information Centre,41-43 Albert Street,creswick,VIC,3363,"50, 50",AUD 0.45 per kWh,1,"33, 2",-37.8191777,145.0167539,creswick vicitors information centre,
MEL169,Gillies Street North,Gillies Street North,ballarat,City of Ballarat,3355,6.6,Free,2,1,-37.8050281,144.9457629,gillies street north,
MEL170,Ballarat Supercharger,333 Gillies St,ballarat,,3355,120,AUD 0.42/kWh;other tariffs for older cars,6,33,-37.8050281,144.9457629,ballarat supercharger,
MEL171,Castlemaine Market Building Car Park,33 Forest St,castlemaine,Victoria,3450,"50, 50",$0.40 per kWh parking overstay charges may apply.,2,"2, 33",-37.6303914,145.0273223,castlemaine market building car park,
MEL172,Tesla Supercharger Lucas,Lilburne Street,lucas,Victoria,,250,$0.78/kWh,10,33,,,tesla supercharger lucas,
MEL173,High Street,7 High Street,harcourt,Victoria,3453,"25, 25",$0.40 per kWh. Parking overstay charges may apply,1,"33, 2",-37.8374349,145.1115353,high street,
MEL174,The Cape Display Centre,17 Sunlight Boulevard,cape paterson,Victoria,3995,50,$0.40/kWh,2,33,,,the cape display centre,
MEL175,CTR Leongatha,Pern Lane,leongatha,Victoria,3953,"50, 50",,1,"2, 33",-38.1199326,145.3182716,ctr leongatha,
MEL176,Evie Leongatha,McCartin Street,leongatha,Victoria,3953,"50, 50",,1,"2, 33",-38.1199326,145.3182716,evie leongatha,
MEL177,Lorne Visitor Information Centre,15 Mountjoy Parade,lorne,VIC,3232,7,Free,1,1,-37.6734151,145.0272333,lorne visitor information centre,
MEL178,Chargefox Moe,Lloyd Street,moe,Victoria,3825,"50, 50, 350, 50, 50",40c/kWh,4,"2, 33, 33, 33, 2",-37.6132253,145.0980154,chargefox moe,
MEL179,CTR Meeniyan,Tompkins Road,meeniyan,VIC,,50,,2,33,,,ctr meeniyan,
MEL180,Bendigo Supercharger,Condon Street,bendigo,VIC,3550,120,AUD 0.42/kWh;other tariffs for older cars,6,33,-37.720574,145.047976,bendigo supercharger,
MEL181,Euroa Supercharger,46 Kirkland Ave,euroa,,,120,AUD 0.42/kWh;other tariffs for older cars,6,33,-37.7639651,144.8287004,euroa supercharger,
MEL182,Chargefox - Euroa,Euroa Service Centre,euroa,Vic,3666,"100, 350, 50, 50, 350, 350, 50, 350",,4,"2, 33, 2, 33, 33, 2, 33, 2",-37.7639651,144.8287004,chargefox - euroa,
MEL183,Bendigo Kangan Institute,62-104 Charleston Road,east bendigo,Victoria,3550,"80, None",$0.40/kWh,2,"33, 25",,,bendigo kangan institute,
MEL184,Bendigo Art Gallery,62 View Street,bendigo,Victoria,3550,"50, 50, 50, 50",$0.40 per kWh. Parking overstay charges may apply,2,"2, 33, 2, 33",-37.720574,145.047976,bendigo art gallery,
MEL185,Colac Supercharger,144-158 Bromfield Street,colac,Victoria,3250,250,$0.78/kWh,3,33,-38.0761008,145.1472438,colac supercharger,
MEL186,CTR Maryborough,Station St,maryborough,VIC,3465,"50, 50",Payment Required $0.40 per kWh parking overstay charges may apply.,2,"33, 2",-37.850401,144.5882783,ctr maryborough,
MEL187,NRMA Marong,32 High Street,marong,Victoria,3515,"180, 180",66c / 60c for members,4,"33, 2",-37.793821,144.5506713,nrma marong,
MEL188,CTR Foster,Station Road,foster,VIC,,50,,2,33,-37.5902461,144.9342136,ctr foster,
MEL189,Tesla Supercharger Traralgon,Grey Street,traralgon,Vic,,250,$0.66/kWh,4,33,,,tesla supercharger traralgon,
MEL190,Charging the Regions Traralgon,49 Breed St,,Victoria,3844,"50, 50",$0.45 per kWh,1,"33, 2",-37.8688729,145.2126338,charging the regions traralgon,
MEL191,Evie Traralgon,Princes Street,traralgon,Vic,,"50, 50",,2,"33, 2",,,evie traralgon,
MEL192,Evie Beaufort,19 Willoby St,beaufort,Vic,3373,"50, 50, 50",$0.45 per kWh. Parking overstay charges may apply,4,"33, 2, 33",-38.0067519,145.1779706,evie beaufort,
MEL193,Newbridge Public Hall,Cnr Burke St & Wimmera Hwy,newbridge,Victoria,3551,"25, 25",Payment Required $0.40 per kWh parking overstay charges may apply.,1,"2, 33",-37.9715559,145.124582,newbridge public hall,
MEL194,Evie Avoca,High Street,avoca,VIC,,50,,2,33,-37.6146532,145.0933095,evie avoca,
MEL195,Tatura,104 Hogan St,tatura,Victoria,3616,"25, 25",$0.40 per kWh (at all times),2,"2, 33",-38.1379689,145.1628252,tatura,
MEL196,Heyfield Apex Park,Davis St & George Street,heyfield,Victoria,3858,50,$0.40/kWh,2,33,-37.8237397,144.7132186,heyfield apex park,
MEL197,CTR Mooroopna,"77 Midland Hwy,",mooroopna,VIC,3629,"50, 50",$0.40 per kWh. Parking overstay charges may apply,2,"2, 33",-37.7852115,144.5605697,ctr mooroopna,
MEL198,Shepparton Observation Tower,"8 Fraser St, ",shepparton,VIC ,3630,"50, 50",$0.40 per kWh. Parking overstay charges may apply,2,"2, 33",-37.7884948,144.5582739,shepparton observation tower,
MEL199,Evie Camperdown,2 Bath Street,camperdown,Victoria,3260,"50, 50",$0.45 per kWh,1,"33, 2",-37.764834,144.8219857,evie camperdown,
MEL200,Evie Benalla,Denny Street,benalla,Victoria,3672,"50, 50",,1,"33, 2",-37.8059585,144.9432551,evie benalla,
MEL201,Inglewood Town Hall,Storm Lane,inglewood,Victoria,3517,"50, 50",$0.40 per kWh. Parking overstay charges may apply,1,"33, 2",-37.7924237,144.5498933,inglewood town hall,
MEL202,Chargefox Yarram,156 Grant Street,yarram,Victoria,3971,"50, 50",Payment Required $0.40 per kWh (at all times),1,"33, 2",-38.1353489,145.1666795,chargefox yarram,
MEL203,Evie Maffra,4 Purdy Ln,maffra,VIC,3860,"50, 50",$0.45 per kWh,1,"33, 2",-37.6601922,144.9408062,evie maffra,
MEL204,Port of Sale,Canal Road,sale,VIC,3850,"50, 50",$0.40 ,2,"2, 33",-37.87076,145.65249,port of sale,
MEL205,Mansi on Raymond,476 Raymond Street,sale,Victoria,3850,22,$0.40/kWh,1,25,-37.87076,145.65249,mansi on raymond,
MEL206,Queen Street,Queen Street,,Victoria,3377,22,,1,1036,-37.8688729,145.2126338,queen street,
MEL207,CTR Echuca [Evie],438 High Street,echuca,Victoria,3564,"50, 50, 25, 25",$0.40 ,1,"2, 33, 33, 2",-37.7821653,144.5503709,ctr echuca [evie],
MEL208,Elizabeth Park,62 High St,ararat,Victoria,3397,22.8,0,2,25,-38.0625563,145.5506248,elizabeth park,
MEL209,Evie Ararat,Western Highway,ararat,Victoria,3377,"50, 50",,1,"33, 2",-38.0625563,145.5506248,evie ararat,
MEL210,NRMA Ararat,Taylor Street,ararat,Victoria,3377,"150, 150",66c / 60c for members,4,"33, 2",-38.0625563,145.5506248,nrma ararat,
MEL211,Glenrowan South [bp pulse],Hume Freeway,glenrowan,Victoria,3675,"75, 75",55c/kWh,2,"2, 33",,,glenrowan south [bp pulse],
MEL212,Glenrowan North [bp pulse],Hume Freeway,glenrowan,Victoria,3675,"75, 75, 75",$0.55/kWh,4,"33, 33, 2",,,glenrowan north [bp pulse],
MEL213,CTR Wedderburn CV008,67 High St,wedderburn,Victoria,3518,"50, 50","0.40/kWh + While parked, not charging: 4.00/hr after 60 mins",2,"33, 2",-37.7917062,144.5494853,ctr wedderburn cv008,
MEL214,Evie St Arnaud,Golden Street,st arnaud,Vic,,"50, 50",,2,"33, 2",-37.792199,144.5486025,evie st arnaud,
MEL215,Evie Wangaratta,2 - 6 Docker St,wangaratta,Victoria,3676,"50, 50",$0.45 per kWh,1,"33, 2",-37.787905,144.5592084,evie wangaratta,
MEL216,Ovens Supercharger,4994 Great Alpine RD,ovens,,,120,AUD 0.42/kWh;other tariffs for older cars,4,33,-37.8119107,144.8154073,ovens supercharger,
MEL217,Evie Stawell,Skene Street,stawell,Victoria,3380,"50, 50",,1,"33, 2",-38.1087492,145.2895959,evie stawell,
MEL218,Tesla Superchargers Stawell,Church Street,stawell,Victoria,3380,250,$0.66/kWh,12,33,-38.1087492,145.2895959,tesla superchargers stawell,
MEL219,Feathertop Winery,6619 Great Alpine Road,porepunkah,Victoria,,22,Free,2,1036,-37.5979507,145.0753657,feathertop winery,
MEL220,Evie - Bright,24 Wills St,bright,Vic,3741,"50, 50",$0.45 per kWh,1,"33, 2",-37.6245646,145.0136597,evie - bright,
MEL221,Evie Yarrawonga,6 - 12 Hovell Street,yarrawonga,VIC,3730,"50, 50",$0.45 per kWh. Parking overstay charges may apply,1,"33, 2",-37.9133914,145.1301259,evie yarrawonga,
MEL222,The Sebel Silverwoods Yarrawong,40 Silverwoods Blvd,yarrawonga,Victoria,3730,"50, 50",$0.30 per kWh (at all times),1,"33, 2",-37.9133914,145.1301259,the sebel silverwoods yarrawong,
MEL223,Warnambool Supercharger,21-23 Gateway Road,warnambool,Victoria,3280,250,$0.78/kWh,3,33,,,warnambool supercharger,
MEL224,Warnambool Tourist Information Centre,91 Merri Street,warnambool,Victoria,2380,"50, 50",payment may be required,1,"2, 33",,,warnambool tourist information centre,
MEL225,Callaghan Motors,1165 Raglan Parade,warnambool,Victoria,3280,22,$0.50 per kWh,2,25,,,callaghan motors,
MEL226,Evie Dunkeld,83 Wills St,dunkeld,Victoria,3294,"50, 50",$0.45 per kWh,1,"33, 2",-37.766817,144.8245105,evie dunkeld,
MEL227,Gippsland Solar,35 Payne Street,bairnsdale,Vic,,22,$0.25 per kWh,1,25,,,gippsland solar,
MEL228,Evie Cohuna,King George St,cohuna,VIC,3568,"50, 50",$0.40 per kWh,1,"33, 2",-37.7062908,144.8039161,evie cohuna,
MEL229,Bairnsdale Chargefox,Nicholson Street Carpark,bairnsdale,Vic,,"50, 50",AUD 0.40 per kWh,1,"33, 2",,,bairnsdale chargefox,
MEL230,Bairnsdale,9 Francis Street,bairnsdale,Victoria,3875,"50, 50",$0.45 per kWh. Parking overstay charges may apply,1,"33, 2",,,bairnsdale,
MEL231,Coles Bairnsdale,35 Nicholson St,bairnsdale,Victoria,3875,250,0.70c/kwh,3,33,,,coles bairnsdale,
MEL232,Bairnsdale Coles,35 Nicholson Street,bairnsdale,Victoria,3875,250,$0.70 per kWh,3,33,,,bairnsdale coles,
MEL233,Yackandandah Community Development Company,16 Windham Street,yackandandah,Vic,3749,"50, 50",AUD 0.54 per kWh (3pm-10am) AUD 0.37 per kWh (10am - 3pm),2,"33, 2",,,yackandandah community development company,
MEL234,Omeo - Tongio Road,Tongio Road,omeo,Vic,3898,"50, 50",AUD 0.40 per kWh,2,"33, 2",-37.8800365,144.6170498,omeo - tongio road,
MEL235,Wycheproof,Fairview Street,wycheproof,Victoria,3527,"50, 50",$0.40 per kWh. Parking overstay charges may apply,2,"33, 2",-37.5432106,145.0085889,wycheproof,
MEL236,NRMA Wycheproof,361 Broadway,wycheproof,Victoria,3527,"150, 150",66c / 60c for members,4,"33, 2",-37.5432106,145.0085889,nrma wycheproof,
MEL237,Chargefox - Barnawartha North,Murray Valley Hwy,barnawartha north,Vic,3690,"50, 50, 100, 350, 350, 350, 50, 50",AUD 0.65/kWh,4,"2, 33, 2, 33, 33, 2, 33, 2",,,chargefox - barnawartha north,
MEL238,Evie Kerang,1 -3 Albert St,kerang,VIC,3579,"50, 50",$0.40 per kWh. Idle fee $4 per hour,1,"33, 2",-37.7200123,145.0271063,evie kerang,
MEL239,Foodworks Baranduda,34 Verbena Street,baranduda,Victoria,3691,11,$0.23/kWh,4,1036,,,foodworks baranduda,
MEL240,Deni RSL,72 End St,deniliquin,NSW,2710,22,FREE,8,25,,,deni rsl,
MEL241,Wodonga Supercharger,5-13 Havelock Street,wodonga,,3690,120,AUD 0.42/kWh;other tariffs for older cars,6,33,-37.6755673,144.9898056,wodonga supercharger,
MEL242,Evie Hamilton,Scoresby Street,hamilton,VIC,,"50, 50",,2,"33, 2",-37.8758579,145.1284529,evie hamilton,
MEL243,Tesla Supercharger Albury,Stanley Street,albury,New South Wales,2640,250,$0.69/kWh,12,33,-37.5442344,145.0076408,tesla supercharger albury,
MEL244,Albury Waste Management Centre,565 Mudge St,hamilton valley,New South Wales,2641,"50, 50",$0.15 per kWh (at all times) on the Chargefox network,1,"2, 33",,,albury waste management centre,
MEL245,Wuality Resort Siesta,422 Wagga Road,lavington,New South Wales,2641,"7, 7, 7, 7",Free,4,"25, 25, 25, 25",-37.603329,144.9253134,wuality resort siesta,
MEL246,Evie Lakes Entrance,2 Marine Pde,lakes entrance,VIC,3909,"50, 50",$0.45 per kWh. Parking overstay charges may apply,1,"33, 2",,,evie lakes entrance,
MEL247,Lakes Entrance RSL,221 The Esplanade,lakes entrance,Victoria,3909,22,30c/kWh,1,25,,,lakes entrance rsl,
MEL248,RACV - Horsham,126 Baillie St,horsham,Victoria,3400,"350, 50, 350, 50",,4,"33, 33, 2, 2",-38.102184,145.2949057,racv - horsham,
MEL249,Horsham Supercharger,126 Wilson St,horsham,,3400,250,AUD 0.42/kWh;other tariffs for older cars,3,33,-38.102184,145.2949057,horsham supercharger,
MEL250,NRMA Jerilderie,Powell Street,jerilderie,New South Wales,2716,"50, 50",FREE,1,"33, 2",-38.0097571,145.326648,nrma jerilderie,
MEL251,Evie Warracknabeal,18 - 20 Woolcock Street,warracknabeal,VIC,3393,"50, 50",$0.45 per kWh,1,"33, 2",-37.7853138,144.5406661,evie warracknabeal,
MEL252,Evie Portland,Henty Street,portland,VIC,,"50, 50",,2,"33, 2",-37.9359053,145.2051222,evie portland,
MEL253,Lochiel Street,Lochiel Street,dimboola,Victoria,3414,22,,1,25,-37.6804576,144.9123982,lochiel street,
MEL254,CTR Swan Hill CV002,135 Curlewis Street,swan hill,Victoria,3585,"50, 50",Payment Required $0.40 per kWh parking overstay charges may apply.,2,"33, 2",,,ctr swan hill cv002,
MEL255,Orbost Chargefox,Wolseley Street,orbost,Victoria,,"50, 50",AUD 0.40 per kWh,1,"33, 2",-37.8379885,145.2121845,orbost chargefox,
MEL256,Tesla Supercharger Holbrook,Swift Street,holbrook,New South Wales,2644,250,$0.69 / kWh,1,33,-37.7702694,144.9361781,tesla supercharger holbrook,
MEL257,Holbrook [NRMA],Submarine Park,holbrook,NSW,,"50, 50",,1,"33, 2",-37.7702694,144.9361781,holbrook [nrma],
MEL258,CTR Sea Lake,111 Best Street,sea lake,Victoria,3533,"50, 50",Payment Required $0.40 per kWh parking overstay charges may apply.,2,"2, 33",,,ctr sea lake,
MEL259,Evie Dartmoor,73 Greenham St,dartmoor,VIC,3304,"50, 50",$0.45 per kWh,1,"33, 2",-37.705345,144.6794568,evie dartmoor,
MEL260,Anzac Ave Parking,12 Anzac Ave,edenhope,VIC ,3318,"50, 50",Payment Required $0.40/kWh,1,"33, 2",-37.8054372,145.3280915,anzac ave parking,
MEL261,Nelson St Parking/Charging,111 Nelson St,nhill,Victoria,3418,22,Free,2,25,-37.6730847,144.9282577,nelson st parking/charging,
MEL262,Snowy River Ave Car Park,3 Snowy River Ave,jindabyne,NSW,2627,"50, 50",Chargers free of charge for now but will require you to be a member in the future or you will need to pay per charge.,2,"33, 2",-37.6403391,145.084278,snowy river ave car park,
