Name,Status,PowerKW,ConnectionType,Latitude,Longitude,reliability_score
Shell Coles Express Taylors Lakes,Operational,350.0,CCS (Type 2),-37.69674197545634,144.78205236033568,100.0
Heatherton Road,Operational,350.0,CCS (Type 2),-37.97128123711468,145.2236965774951,100.0
Tesla Supercharger South Melbourne,Operational,250.0,CCS (Type 2),-37.83227022248282,144.9609633571161,88.57142857142857
Tesla Supercharger Campbellfield,Operational,250.0,CCS (Type 2),-37.68912458660884,144.95662465559099,88.57142857142857
Telsa Supercharger Box Hill,Operational,250.0,CCS (Type 2),-37.837816422984424,145.1346849142019,88.57142857142857
Tesla Supercharger Oakleigh Repair Centre,Operational,250.0,CCS (Type 2),-37.91568317695367,145.10327868938475,88.57142857142857
Tesla Supercharger Brighton East,Operational,250.0,CCS (Type 2),-37.907528089556905,145.01117779850802,88.57142857142857
Abbotsford Supercharger ,Operational,250.0,CCS (Type 2),-37.809084572181135,144.99588508312934,88.57142857142857
Mornington Super Charger,Operational,250.0,CCS (Type 2),-38.23466432711377,145.05094693515247,88.57142857142857
Ampol Foodary Altona North,Operational,180.0,CCS (Type 2),-37.846404,144.808531,80.57142857142857
Bridge Street,Operational,180.0,CCS (Type 2),-37.94495495500977,145.00192929573643,80.57142857142857
Ampol Derrimut,Operational,180.0,CCS (Type 2),-37.80519464533884,144.75198926317552,80.57142857142857
Ampcharge Sandown,Operational,180.0,CCS (Type 2),-37.94161999001956,145.16671110078272,80.57142857142857
Ampcharge Cheltenham,Operational,180.0,CCS (Type 2),-37.99571529046778,145.182222569087,80.57142857142857
Ampcharge Werribee,Operational,180.0,CCS (Type 2),-37.899759968148494,144.6650849021937,80.57142857142857
BP Northpoint,Operational,150.0,CCS (Type 2),-37.64768,144.99461,77.14285714285714
Ampcharge Barkly Square,Operational,150.0,CCS (Type 2),-37.776585212413124,144.9639271835984,77.14285714285714
BP Pulse,Operational,150.0,CCS (Type 2),-37.7557555131601,144.7410636793341,77.14285714285714
Ampol Kilsyth,Operational,150.0,CCS (Type 2),-37.82365941817221,145.2959481777906,77.14285714285714
Camberwell Supercharger,Operational,120.0,CCS (Type 2),-37.828482,145.056346,73.71428571428572
ENGIE - Chadstone 2,Operational,120.0,CCS (Type 2),-37.88820940951108,145.08494077130194,73.71428571428572
650 Church Street Building 5,Operational,120.0,CCS (Type 2),-37.8318863645605,144.995866953165,73.71428571428572
Moonee Ponds,Operational,120.0,CCS (Type 2),-37.765834,144.923586,73.71428571428572
Engie Monash University,Operational,120.0,CHAdeMO,-38.15200425352916,145.13493764315962,73.71428571428572
Engie Cranbourne Park,Operational,120.0,CHAdeMO,-38.10907515763703,145.28176239248455,73.71428571428572
Scorseby Engie,Operational,100.0,CCS (Type 2),-37.91344215822404,145.21852997218298,71.42857142857143
Engie - The Glen,Operational,100.0,CCS (Type 2),-37.87707026526765,145.16444504069057,71.42857142857143
ENGIE - VIctoria Gardens,Operational,100.0,CHAdeMO,-37.81230000849669,145.01104431147348,71.42857142857143
ENGIE - Chadstone,Operational,100.0,CCS (Type 2),-37.884370226319035,145.08316779641655,71.42857142857143
JET Charge Office,Operational,80.0,CHAdeMO,-37.82858393063794,144.93443851602245,69.14285714285714
Brunswick EV Hub,Operational,80.0,CCS (Type 2),-37.77388003814904,144.961800631472,69.14285714285714
Bayside Council,Operational,75.0,CCS (Type 2),-37.95937215569076,145.01794753966965,68.57142857142857
Evie Glen Gala Village,Operational,75.0,CCS (Type 2),-37.79308442111111,144.7896023171707,68.57142857142857
BP Pulse Cranbourne,Operational,75.0,CCS (Type 2),-38.110286646748186,145.2640707648552,68.57142857142857
bp pulse Dandenong North,Operational,75.0,CCS (Type 2),-37.970797096657705,145.22316104545723,68.57142857142857
bp pulse Merrifield,Operational,75.0,CCS (Type 2),-37.53426998045639,144.89828573356567,68.57142857142857
BP pulse Diamond Creek,Operational,75.0,CHAdeMO,-37.680105,145.123078,68.57142857142857
Bayside Gateway,Operational,75.0,CHAdeMO,-37.900527,145.00702,68.57142857142857
RMIT - City Campus,Operational,75.0,CCS (Type 2),-37.80624795114712,144.96401596254236,68.57142857142857
Toyota Altona,Operational,75.0,CCS (Type 2),-37.832781169763166,144.82753568527227,68.57142857142857
Bayside Willansby Ave,Operational,50.0,CCS (Type 2),-37.90610169777272,145.00363488616335,65.71428571428571
Swinburne University - TC Building,Operational,50.0,CCS (Type 2),-37.820026,145.040303,65.71428571428571
Malvern Central,Operational,50.0,CCS (Type 2),-37.862429,145.027453,65.71428571428571
Evie Richmond Library,Operational,50.0,CCS (Type 2),-37.825531454943984,144.99874510755922,65.71428571428571
Collingwood Library,Operational,50.0,CCS (Type 2),-37.80446562888998,144.99324369474311,65.71428571428571
Chargefox Airport West,Operational,50.0,CHAdeMO,-37.71364567547256,144.88569078594128,65.71428571428571
Hobsons Bay Civic Centre,Operational,50.0,CCS (Type 2),-37.864138,144.829593,65.71428571428571
Keilor Central,Operational,50.0,CCS (Type 2),-37.726166090249,144.80818393376683,65.71428571428571
Coburg North EV Fast Charge,Operational,50.0,CCS (Type 2),-37.71893760420672,144.9615007076203,65.71428571428571
Woolworths Fishermans Bend,Operational,50.0,CCS (Type 2),-37.8313475403691,144.92982685129846,65.71428571428571
The Parade Ascot Vale Car Park,Operational,50.0,CHAdeMO,-37.772547,144.915133,65.71428571428571
ClydeStone Square,Operational,50.0,CCS (Type 2),-38.09340993256419,145.34171416795755,65.71428571428571
Evie Cranbourne Homemaker Centre,Operational,50.0,CCS (Type 2),-38.08489638497555,145.27849713747787,65.71428571428571
ENGIE - Bayside Centre,Operational,50.0,CCS (Type 2),-38.13983274747568,145.12422212753893,65.71428571428571
Jolt Berwick Springs Hotel,Operational,50.0,CCS (Type 2),-38.05976565896848,145.33777518791914,65.71428571428571
Evie Mornington,Operational,50.0,CCS (Type 2),-38.22449869065465,145.03964281641652,65.71428571428571
Wallan,Operational,50.0,CCS (Type 2),-37.413967109460415,144.9791065326649,65.71428571428571
CTR Whittlesea,Operational,50.0,CCS (Type 2),-37.51050054135484,145.11840794982265,65.71428571428571
Evie Chirnside Park,Operational,50.0,CCS (Type 2),-37.761143550893365,145.3120760296531,65.71428571428571
Civic Centre,Operational,50.0,CCS (Type 2),-37.897374392712145,144.67054059560462,65.71428571428571
Jolt Black Rock,Operational,50.0,CCS (Type 2),-37.97570246970103,145.01742302760965,65.71428571428571
Bembit Bagrook Community Centre,Operational,50.0,CCS (Type 2),-37.82495081827982,144.6818834275545,65.71428571428571
Bay Trail,Operational,50.0,CCS (Type 2),-38.00841347461177,145.0848841496986,65.71428571428571
Red Rooster Vermont,Operational,50.0,CCS (Type 2),-37.831965,145.213612,65.71428571428571
Stud Park Shopping Centre,Operational,50.0,CCS (Type 2),-37.92131128415721,145.23754907301503,65.71428571428571
Jolt Cheltenham,Operational,50.0,CCS (Type 2),-37.95675410011873,145.0413433811873,65.71428571428571
Monash Caufield,Operational,50.0,CCS (Type 2),-37.87609755140018,145.0437890823424,65.71428571428571
City of Stonnington,Operational,50.0,CCS (Type 2),-37.8558376330929,145.0295635713096,65.71428571428571
Coburg Civic Centre / Moreland City,Operational,50.0,CCS (Type 2),-37.74104152020631,144.9701497464091,65.71428571428571
Evie Chelsea,Operational,50.0,CCS (Type 2),-38.054822504708284,145.11600913546908,65.71428571428571
Lollypop Creek Community Centre,Operational,50.0,CCS (Type 2),-37.909988077571576,144.61367550280465,65.71428571428571
Yarra Ranges Council,Operational,50.0,CCS (Type 2),-37.656879,145.374241,65.71428571428571
Local Village Carrum Downs,Operational,50.0,CCS (Type 2),-38.088427053571266,145.1825268436774,65.71428571428571
Lynbrook Village,Operational,50.0,CCS (Type 2),-38.051153,145.256504,65.71428571428571
McDonald’s Melton South,Operational,50.0,CCS (Type 2),-37.7224393461178,144.57233401223442,65.71428571428571
Uni Hill Town Centre,Operational,50.0,CCS (Type 2),-37.682971406829196,145.07101659256762,65.71428571428571
Woolworths Heidelberg,Operational,44.0,CCS (Type 2),-37.75910544295768,145.06876762326635,65.02857142857142
Jolt Bayswster,Operational,25.0,CHAdeMO,-37.84108696617519,145.2666187431746,62.857142857142854
Cobblebank Stadium,Operational,25.0,CCS (Type 2),-37.71519007650546,144.5996762637954,62.857142857142854
Middy’s Port Melbourne,Operational,25.0,CCS (Type 2),-37.82819,144.925654,62.857142857142854
CB Smith Reserve,Operational,25.0,CCS (Type 2),-37.70252995850394,144.9695198384195,62.857142857142854
Moonee Ponds Central,Operational,22.0,Type 1 (J1772),-37.76583087874345,144.92352649174768,62.51428571428571
RMIT Brunswick,Operational,22.0,Type 2 (Socket Only),-37.7716796666272,144.95818485880557,62.51428571428571
Strata Equity – Hunter Werribee,Operational,22.0,Type 2 (Socket Only),-37.901930594530896,144.6625784145474,62.51428571428571
Cobblebank Village,Operational,22.0,CHAdeMO,-37.7144019574638,144.60143699904745,62.51428571428571
Marnong Estate,Operational,22.0,Type 2 (Socket Only),-37.53036061112412,144.88047325188313,62.51428571428571
Bunnings Tarneit,Operational,22.0,Type 2 (Socket Only),-37.83430858506595,144.69884313714417,62.51428571428571
Greenvale Woolworths,Operational,22.0,Type 2 (Socket Only),-37.616202335824184,144.91476338954578,62.51428571428571
EastLand Shopping Centre,Operational,22.0,Type 2 (Tethered Connector) ,-37.81312694411209,145.22883198929685,62.51428571428571
Austin Tower Carpark Level B1,Operational,22.0,Type 2 (Socket Only),-37.75745813437603,145.05918510936715,62.51428571428571
Miller Grove,Operational,22.0,CCS (Type 2),-37.875016711913474,145.128081929617,62.51428571428571
David Street Car Park,Operational,22.0,Type 2 (Socket Only),-37.771645139851486,144.96173089792444,62.51428571428571
Oak Park Sports & Aquatic Centre,Operational,22.0,Type 2 (Socket Only),-37.7234502505038,144.92111987538624,62.51428571428571
Brimbank Shopping Centre,Operational,22.0,Type 2 (Socket Only),-37.751176222078364,144.77432972140224,62.51428571428571
Greensborough Plaza,Operational,22.0,Type 2 (Tethered Connector) ,-37.7021622916574,145.102334661124,62.51428571428571
diamond creek community bank stadium,Operational,22.0,Type 2 (Socket Only),-37.673614374174896,145.16604356699168,62.51428571428571
Watergardens Shopping Centre,Operational,22.0,Type 2 (Socket Only),-37.69870942833684,144.77527685160192,62.51428571428571
Forest Hill Chase Shopping Centre,Operational,22.0,Type 2 (Socket Only),-37.835025723717706,145.1632775004582,62.51428571428571
Research Way - N1 Carpark,Operational,22.0,Type 2 (Tethered Connector) ,-37.90730011409977,145.13207788768955,62.51428571428571
St Huberts Winery,Operational,11.0,Type 2 (Socket Only),-37.69718697137555,145.40782508992731,61.25714285714286
Yarra Valley Nissan,Operational,11.0,Type 2 (Socket Only),-37.754997221186045,145.3637260206866,61.25714285714286
Watermarc Carpark (LG),Operational,11.0,Type 2 (Socket Only),-37.70397622211952,145.10521824749753,61.25714285714286
Hungry Jacks,Operational,11.0,Type 2 (Socket Only),-37.58083462151804,144.72450043278604,61.25714285714286
GET Electric Head Office,Operational,11.0,Type 2 (Socket Only),-37.83334808033666,144.92004965602666,61.25714285714286
Lorbek Luxury Cars,Operational,11.0,Type 2 (Tethered Connector) ,-37.821362270898675,144.95148061129817,61.25714285714286
Coburg Town Hall / Moreland City,Operational,7.0,Type 2 (Socket Only),-37.74066654517114,144.96967301950258,60.8
Fleming Park,Operational,7.0,Type 2 (Socket Only),-37.769132479580406,144.9747860386588,60.8
Devon Street Car Park,Operational,7.0,Type 2 (Socket Only),-37.79675756180921,145.27982712620957,60.8
Chadstone Shopping Centre,Operational,7.0,Type 2 (Socket Only),-37.884974305769425,145.08243117285895,60.8
Eltham Leisure Centre,Operational,7.0,Type 2 (Socket Only),-37.72302764419204,145.14217983897862,60.8
Point Cook Town Centre,Operational,7.0,Type 2 (Tethered Connector) ,-37.88439995231257,144.73403564973228,60.8
St Kilda Town Hall,Operational,3.5,Type 2 (Socket Only),-37.8682677,144.9895699,60.4
Southland Medical Centre,Operational,0.0,,-37.958611,145.057267,60.0
City of Casey,Unknown,7.0,Type 2 (Socket Only),-38.016591,145.292402,0.8
Club Trillium,Temporarily Unavailable,0.0,Type 1 (J1772),-37.56509713731276,144.89381606273855,0.0
