,suburb,latitude,longitude
0,Albury,-37.5442344,145.0076408
1,Black Rock,-37.9706564,145.0212822
2,Harcourt,-37.8374349,145.1115353
3,Wedderburn,-37.7917062,144.5494853
4,Croydon,-37.7955004,145.2801507
5,Broadford,-37.6362329,145.0265708
6,Caroline Springs,-37.7340623,144.7370017
7,Chelsea,-38.0497386,145.121407
8,Sunbury,-37.5791363,144.7279832
9,Jan Juc,,
10,Leongatha,-38.1199326,145.3182716
11,Warragul,-37.6694522,144.9350241
12,Corio,-37.9623312,145.1346687
13,Whittlesea,-37.5121301,145.1177321
14,Armstrong Creek,-37.6289691,145.8640385
15,Woodend,-37.7934621,144.5595902
16,Moordialloc,-38.0102322,145.0929673
17,Weir Views,-37.7323715,144.5708942
18,Hamilton Valley,,
19,Sydenham,-37.6997223,144.7653295
20,Yea,-37.4927455,145.1572676
21,Greensborough,-37.7037383,145.1079105
22,Oak Park,-37.7180181,144.9215041
23,Cape Paterson,,
24,Yarrawonga,-37.9133914,145.1301259
25,Oakleigh South,-37.9248257,145.0921745
26,Glenrowan,,
27,Horsham,-38.102184,145.2949057
28,Dandenong,-37.98749,145.2147923
29,Frankston,-38.150925,145.142239
30,Deer Park,-37.7686602,144.7713077
31,Macedon,-37.7726251,145.1131159
32,Kilmore,-37.6750485,144.9242188
33,Wycheproof,-37.5432106,145.0085889
34,Altona North,-37.8378229,144.8342853
35,Avoca,-37.6146532,145.0933095
36,Brunswick East,-37.7688802,144.9776825
37,Hepburn Springs,-37.7481414,144.739508
38,Mickleham,-37.5344793,144.9120372
39,Daylesford,-37.627671,145.0254821
40,Lakes Entrance,,
41,Foster,-37.5902461,144.9342136
42,Hamilton,-37.8758579,145.1284529
43,South Melbourne,-37.83344,144.9570533
44,Camberwell,-37.8384623,145.0740767
45,Geelong,-37.8396934,145.008539
46,Cowes,-37.7092585,144.7872516
47,Cheltenham,-37.9670081,145.0546951
48,Meeniyan,,
49,Malvern,-37.8576088,145.0350666
50,Beaufort,-38.0067519,145.1779706
51,Lilydale,-37.7571582,145.3458656
52,Stawell,-38.1087492,145.2895959
53,Yackandandah,,
54,Summerlands,,
55,Maryborough ,-37.850401,144.5882783
56,Camperdown,-37.764834,144.8219857
57,Sebastopol,-37.8709314,145.0193037
58,Castlemaine,-37.6303914,145.0273223
59,Alexandra,-37.8212422,144.9736634
60,Sunshine West,-37.7983442,144.8110919
61,Moe,-37.6132253,145.0980154
62,Holbrook,-37.7702694,144.9361781
63,Seymour,-38.0021533,145.0974829
64,Baranduda,,
65,Grovedale,-37.8171289,145.0949242
66,Yarra Glen,-37.6573475,145.3743964
67,Heidelberg,-37.7524788,145.0701284
68,Inglewood,-37.7924237,144.5498933
69,Derrimut,-37.7987978,144.776051
70,Box Hill South,-37.8366236,145.1233644
71,Ringwood,-37.8158726,145.2291113
72,Sale,-37.87076,145.65249
73,Cranbourne,-38.0997308,145.2807256
74,Ocean Grove,-38.170954,145.0972517
75,Chirnside Park,-37.9047634,144.6530424
76,Heyfield,-37.8237397,144.7132186
77,Fawkner,-37.7146535,144.9605402
78,Hampton,-37.9381127,145.0014764
79,St Arnaud,-37.792199,144.5486025
80,Jerilderie,-38.0097571,145.326648
81,St Kilda,-37.8638261,144.981637
82,Bundoora,-37.6982468,145.0596757
83,Lorne,-37.6734151,145.0272333
84,Airport West,-37.7222576,144.8834942
85,Richmond,-37.80745,144.9907213
86,Tarneit,-37.8321522,144.69462
87,Mornington,-38.227699,145.0609375
88,Bannockburn,-37.732231,145.1014989
89,Fishermans Bend,-37.8245644,144.922933
90,City of Casey,-38.0266156,145.3045626
91,Hawthorn,-37.8244246,145.0317207
92,Hastings,-38.3056058,145.1859934
93,Sandown,-37.9503548,145.1665966
94,Wallan,-37.5040691,145.1090152
95,Ballarat,-37.8050281,144.9457629
96,Swan Hill,,
97,Dandenong North,-37.9558319,145.2143234
98,Coldstream,-37.7291014,145.378424
99,Kilsyth South,-37.8315054,145.3110008
100,Southbank,-37.8253618,144.9640203
101,Ascot Vale,-37.7753252,144.921825
102,Colac,-38.0761008,145.1472438
103,Marong,-37.793821,144.5506713
104,Roxburgh Park,-37.6381563,144.9353302
105,Armadale,-37.8563442,145.0193207
106,Barnawartha North,,
107,East Bendigo,,
108,Ararat,-38.0625563,145.5506248
109,Chadstone,-37.8822799,145.1001365
110,,-37.8688729,145.2126338
111,Carlton,-37.8004228,144.9684343
112,Cobblebank,-37.7125512,144.6040773
113,Yarra Junction,-37.7821693,145.6150255
114,Campbellfield,-37.6641298,144.959583
115,Port Melbourne,-37.8333613,144.9219203
116,diamond creek,-37.6733272,145.1588075
117,Flinders,-38.473312,145.0187057
118,Meredith,-37.7657176,145.1589446
119,Traralgon,,
120,Omeo,-37.8800365,144.6170498
121,Altona,-37.8671503,144.8294637
122,Creswick,-37.8191777,145.0167539
123,Cohuna,-37.7062908,144.8039161
124,Dimboola,-37.6804576,144.9123982
125,Bright,-37.6245646,145.0136597
126,Moonee Ponds,-37.765935,144.9192614
127,Nhill,-37.6730847,144.9282577
128,Lavington,-37.603329,144.9253134
129,Werribee,-37.907984,144.6416748
130,Waurn Ponds,,
131,Coburg North,-37.7272635,144.9678538
132,Rye,-38.3821684,144.8099264
133,Lynbrook,-38.0558639,145.2561128
134,Brunswick,-37.7664715,144.9613103
135,Kerang,-37.7200123,145.0271063
136,Deniliquin,,
137,Sea Lake,,
138,Bendigo,-37.720574,145.047976
139,Echuca,-37.7821653,144.5503709
140,Lucas,,
141,Coburg,-37.7449752,144.9643314
142,Diamond Creek,-37.6733272,145.1588075
143,Trentham,-37.7000743,144.8908894
144,Jindabyne,-37.6403391,145.084278
145,Glen Waverley ,-37.8795908,145.1622405
146,Keysborough,-38.0053607,145.1674069
147,Avenel,-37.8958126,144.6304628
148,Epping,-37.6523847,145.0315487
149,Winchelsea,,
150,Brighton,-37.9081962,144.9957991
151,Newbridge,-37.9715559,145.124582
152,Yarram,-38.1353489,145.1666795
153,Healsville,-37.6635261,145.4817549
154,Maffra,-37.6601922,144.9408062
155,Euroa,-37.7639651,144.8287004
156,Benalla,-37.8059585,144.9432551
157,Heathcote,-37.7326399,144.733868
158, Mooroopna ,-37.7852115,144.5605697
159,Warrenheip ,,
160,Wangaratta,-37.787905,144.5592084
161,Melbourne,-37.8142454,144.9631732
162,Warracknabeal,-37.7853138,144.5406661
163,Highton,-37.8163364,145.0687942
164,Point Cook,-37.9064862,144.7533059
165,Warnambool,,
166,Orbost,-37.8379885,145.2121845
167,Bairnsdale,,
168,Forest Hill,-37.8362738,145.1690911
169,Ovens,-37.8119107,144.8154073
170,Clyde North,-38.1028681,145.3302814
171,Rowville,-37.9239267,145.2447672
172,Shepparton ,-37.7884948,144.5582739
173,Malvern East,-37.876835,145.0658739
174,Keilor Downs,-37.7205762,144.8047614
175,Queenscliff,-38.3363033,144.7453366
176,Korumburra,,
177,Porepunkah,-37.5979507,145.0753657
178,Cranbourne West,-38.102241,145.2517182
179,Dunkeld,-37.766817,144.8245105
180,Yarck,-37.5772947,144.7161349
181,Tatura,-38.1379689,145.1628252
182,Portland,-37.9359053,145.2051222
183,Dartmoor,-37.705345,144.6794568
184,Brighton East,-37.9171728,145.0163663
185,Geelong West,-37.8054508,144.879879
186,Wodonga,-37.6755673,144.9898056
187,Curlewis,-37.8148997,145.1062282
188,Sandringham,-37.9502592,145.0043868
189,Harpley,-37.9110402,144.6113082
190,Berwick,-38.0398297,145.3451089
191,Kyneton ,-37.718862,145.0231115
192,Eltham,-37.713736,145.147673
193,Invermay Park,,
194,Edenhope ,-37.8054372,145.3280915
195,Carrum Downs,-38.1003312,145.1788657
196,Abbotsford,-37.8045508,144.9988542
197,Taylor Lakes,,
